,card name,expansion,rarity,converted mana cost,colourless mana,coloured mana,main type,sub type,power,toughness,abilities-1,abilities-2,flavour text-1,flavour text-2,card no,artist,avg price ($),market price ($),foil avg ($),foil price ($),img url
0,Aegis Automaton,Aether Revolt,"
Common",2,2,none,Artifact Creature , Construct,0,3,: Return another target creature you control to its owner's hand., ,The streets of Ghirapur have become dangerous. It's good to have a dependable companion., ,141,Kieran Yanner,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423808&type=card
1,Aerial Modification,Aether Revolt,"
Uncommon",5,4,White,Enchantment , Aura, ,,Enchant creature or Vehicle, , ,,1,Jung Park,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423668&type=card
2,Aeronaut Admiral,Aether Revolt,"
Uncommon",4,3,White,Creature , Human Pilot,3,1,Flying, ,The Consulate recruits its best pilots from the League of Aeronauts. Many go on to command entire fleets.,,2,E. M. Gist,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423669&type=card
3,Aether Chaser,Aether Revolt,"
Common",2,1,Red,Creature , Human Artificer,2,1,First strike, ,,,76,Jason Rainville,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423743&type=card
4,Aether Herder,Aether Revolt,"
Common",4,3,Green,Creature , Elf Artificer Druid,3,3,"When Aether Herder enters the battlefield, you get (two energy counters).", ,,,102,Victor Adame Minguez,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423769&type=card
5,Aether Inspector,Aether Revolt,"
Common",4,3,White,Creature , Dwarf Artificer,2,3,Vigilance, ,,,3,Sidharth Chaturvedi,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423670&type=card
6,Aether Poisoner,Aether Revolt,"
Common",2,1,Black,Creature , Human Artificer,1,1,Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.), ,,,51,Yongjae Choi,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423718&type=card
7,Aether Swooper,Aether Revolt,"
Common",2,1,Blue,Creature , Vedalken Artificer,1,2,Flying, ,,,26,James Ryman,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423693&type=card
8,Aethergeode Miner,Aether Revolt,"
Rare",2,1,White,Creature , Dwarf Scout,3,1,"Whenever Aethergeode Miner attacks, you get (two energy counters).", ,"Gremlins in the wild feed on nodules of pure aether, which are also prized by miners.",,4,Winona Nelson,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423671&type=card
9,Aethersphere Harvester,Aether Revolt,"
Rare",3,3,none,Artifact , Vehicle,3,5,Flying, ,,,142,Christine Choi,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423809&type=card
